Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
12-05-2009,The Grudge 3,"Jake Kimble, the sole survivor of the Chicago massacre, is killed while in solitary confinement. His doctor begins investigating the claims he made about a long-haired woman in white, as a mysterious Japanese woman arrives at his old apartment building to help them get rid of the curse.",27.045,464,5.4,en,"Mystery, Horror, Thriller",https://image.tmdb.org/t/p/original/uEOWWRr8BbgPM0BiJiSTwHGaRx4.jpg
16-12-2022,Shazam! Fury of the Gods,The further adventures of crime-fighting superhero Shazam.,27.043,0,0,en,"Comedy, Action, Fantasy",https://image.tmdb.org/t/p/original/vrFVPBprPlKKmIcpuLVu8SluI9j.jpg
28-07-2017,Hotel Transylvania: Puppy!,The residents of Hotel Transylvania find their world turned upside-down when youngster Dennis gets a surprise monster-sized pet.,27.027,137,6.4,en,"Family, Fantasy, Animation, Comedy",https://image.tmdb.org/t/p/original/sNxIazoQqDQukfQqkYxTgx9DRbu.jpg
06-06-2017,Kill 'em All,"After a massive shootout, a mysterious stranger arrives at a local hospital on the brink of death. Then, a foreign gang brazenly comes to the hospital to hunt him down. His nurse, the sole surviving witness to the follow-up shootout, must face an FBI interrogation that unlocks a plot of international intrigue and revenge.",27.021,72,5.5,en,"Action, Crime",https://image.tmdb.org/t/p/original/cWkZQqS2IxMcvH7UZSHFR8YYRfk.jpg
06-03-2020,Escape from Pretoria,"South Africa, 1978. Tim Jenkin and Stephen Lee, two white political activists from the African National Congress imprisoned by the apartheid regime, put a plan in motion to escape from the infamous Pretoria Prison.",26.998,903,7.3,en,"Drama, History, Thriller",https://image.tmdb.org/t/p/original/5vePsmbekQ1ysXS6f0lhzgCwvc4.jpg
02-07-2014,Tammy,"After losing her job and learning that her husband has been unfaithful, a woman hits the road with her profane, hard-drinking grandmother.",26.996,1039,5.3,en,Comedy,https://image.tmdb.org/t/p/original/efsVMziwE9BNTDX5fNmYVA5oAzJ.jpg
29-01-1999,She's All That,"High school hotshot Zach Siler is the envy of his peers. But his popularity declines sharply when his cheerleader girlfriend, Taylor, leaves him for sleazy reality-television star Brock Hudson. Desperate to revive his fading reputation, Siler agrees to a seemingly impossible challenge. He has six weeks to gain the trust of nerdy outcast Laney Boggs -- and help her to become the school's next prom queen.",26.99,1640,6.3,en,"Comedy, Romance",https://image.tmdb.org/t/p/original/a0pepZNFCjggc7Na9gEwbTI1f46.jpg
21-07-2005,Fullmetal Alchemist the Movie: Conqueror of Shamballa,"Munich, Germany, 1923. Two years have passed since Edward Elric was dragged from his own world to ours, leaving behind his country, his friends and his younger brother, Alphonse. Stripped of his alchemical powers, he has been all this time researching rocketry together with Alphonse Heiderich, a young man who resembles his own brother, hoping to one day find a way back home. His efforts so far had proven fruitless, but after lending a hand to a troubled gipsy girl, Edward is thrown in a series of events that can wreak havoc in both worlds. Meanwhile, at his own world, Alphonse Elric ventures deeper into the mysteries of alchemy in search for a way to reunite with his older brother.",26.971,254,7.3,ja,"Action, Adventure, Animation, Drama",https://image.tmdb.org/t/p/original/rcfZPWcj5pE1CHeIrcUlqFkmeOw.jpg
10-09-2015,The Visit,"A brother and sister are sent to their grandparents' remote Pennsylvania farm for a week, where they discover that the elderly couple is involved in something deeply disturbing.",26.965,3768,6.3,en,"Horror, Thriller, Mystery",https://image.tmdb.org/t/p/original/mtMfKRCa2V5b7d9k4piogB72mcY.jpg
12-08-2015,Barbie in Rock 'N Royals,"When royal Princess Courtney trades places with famous rock star Erika, two worlds collide while both learn to appreciate new friends and experiences.",26.956,225,7,en,"Animation, Music, Family",https://image.tmdb.org/t/p/original/aCKWWQpEijagMEfIOz0vW0aTDmv.jpg
27-04-2017,The Circle,"A young tech worker takes a job at a powerful Internet corporation, quickly rises up the company's ranks, and soon finds herself in a perilous situation concerning privacy, surveillance and freedom. She comes to learn that her decisions and actions will determine the future of humanity.",26.956,3815,5.5,en,"Drama, Thriller, Science Fiction",https://image.tmdb.org/t/p/original/bQVqd5rWrx5GbXhJNuvKy4Viz6j.jpg
29-07-1998,The Negotiator,"The police try to arrest expert hostage negotiator Danny Roman, who insists he's being framed for his partner's murder in what he believes is an elaborate conspiracy. Thinking there's evidence in the Internal Affairs offices that might clear him, he takes everyone in the office hostage and demands that another well-known negotiator be brought in to handle the situation and secretly investigate the conspiracy.",26.954,1568,7.1,en,"Action, Crime, Drama, Thriller",https://image.tmdb.org/t/p/original/moiaZupHkPNd4ryCRqaocjKPeId.jpg
10-08-2018,The Package,"When a group of teenagers goes on a spring break camping trip, an unfortunate accident sets off a race to save their friend’s most prized possession.",26.936,945,6,en,Comedy,https://image.tmdb.org/t/p/original/70mP0nwUmtaL44Y8aoUn6uBjJON.jpg
28-06-1991,The Naked Gun 2½: The Smell of Fear,"Bumbling lieutenant Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business.",26.922,1634,6.8,en,"Comedy, Crime",https://image.tmdb.org/t/p/original/v9niLQWVzVPB1cP1ThNdEaLZG1Q.jpg
31-08-2007,Death Note Relight 1: Visions of a God,"Yagami Light is an ace student with great prospects, who's bored out of his mind. One day he finds the ""Death Note"": a notebook from the realm of the Death Gods, with the power to kill people in any way he desires. With the Death Note in hand, Light decides to create his perfect world, without crime or criminals. However, when criminals start dropping dead one by one, the authorites send the legendary detective L to track down the killer, and a battle of wits, deception and logic ensues...this was aired on Japanese tv shortly after the death note anime was completed, this special basically re-cuts the first 26 episodes of the series into a two hour movie with some new scenes and dialogue added and the story is seen from ryuk's viewpoint.",26.921,172,7.9,ja,"TV Movie, Crime, Drama, Fantasy, Thriller, Animation",https://image.tmdb.org/t/p/original/2cF6EOgr3kNTD6C7FLQS1MnibpJ.jpg
02-06-2021,Petite maman,"Eight-year-old Nelly has just lost her beloved grandmother and is helping her parents clean out her mother's childhood home. She explores the house and the surrounding woods where her mother used to play and where she built the fort Nelly has heard so much about. One day her mother suddenly leaves, and Nelly meets a girl of her own age in the woods, building a fort.",26.905,105,7,fr,"Drama, Fantasy",https://image.tmdb.org/t/p/original/56UDkXqeqIJqcBtAq1hzHsiOxtR.jpg
03-11-2008,Barbie in 'A Christmas Carol',"On Christmas Eve, Kelly is reluctant to go to a Christmas Eve ball, so Barbie tells her the story of Eden Starling, a glamourous singing diva in the Victorian England and the owner of a theatre house. However, Eden is self-centred and loves only herself. She is frequently accompanied by her snooty cat, Chuzzlewit. She does not believe in Christmas and orders all her employees to work on Christmas.",26.905,421,7.1,en,"Animation, Family",https://image.tmdb.org/t/p/original/fX9g1AE1JIqjX3LPPKVjcmHs6fd.jpg
30-06-1999,"South Park: Bigger, Longer & Uncut","When the four boys see an R-rated movie featuring Canadians Terrance and Philip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada.",26.9,2094,7.2,en,"Animation, Comedy",https://image.tmdb.org/t/p/original/tS0PedvA2mFO9VCHYwQpaU1K36U.jpg
